pagetitle;topcategory;subcategory;longtitle;alias;description;introtext;content;images;catalogfull;product-sku;max-kapacitet-nosivosti;max-visina-dizanja;max-jacina-baterije;max-brzina-voznje;teziste;opcije;vrsta-motora;vucni-kapacitet;max-visina-komisioniranja;primjena-vilicara;radni-hodnik;okretni-radius
TOYOTA TONERO (3.5t do 8t) serija;Plinski i diesel Äçeoni viliÄçari - Toyota Tonero serije;;Toyota plinski i diesel (3.5t do 8t) serija;Äçeoni-viliÄçar-toyota-tonero-(35-do-80);Uz Å¡irok raspon aplikacija i 7 god. jamstva na motor, diesel i plinski Toyota Tonero Äçeoni viliÄçari izvrsni su za vanjski rad i manipulaciju teretom.;Uz Å¡irok raspon aplikacija i 7 god. jamstva na motor, diesel i plinski Toyota Tonero Äçeoni viliÄçari izvrsni su za vanjski rad i manipulaciju teretom.;"<p><strong>Za intenzivniju manipulaciju teretom, Toyota Tonero plinski i diesel eoni viliar ima nosivost do 8.0 tona i moe podizati teret do 6 metara.</strong></p><ul><li>7 godina garancije na motor - najdue na tri&scaron;tu</li><li>Kapacitet nosivosti od 3,5 do 8,0t pri tei&scaron;tu od 500mm</li><li>Visina dizanja do 6 m</li><li>Toyota SAS sustav stabilne sigurnosti</li><li>Toyota industrijski diesel/ plinski motori</li></ul><p>Vrlo pogodni za rad u unatra&scaron;njem i vanjskom prostoru Toyota motorni eoni diesel i plinski viliari opremljeni su monim Toyota industrijskim motorom predvienim za te&scaron;ke aplikacije rada. Novost je da i u ovom rangu Toyota eonih motornih viliara SAS sustav stabilne sigurnosti dolazi u standardnoj opremi nudei sigurniji rad i laganije manipuliranje paletama. Ovi viliari su dizajnirani s komforom za vozaa na umu ukljuujui potpuno prilagodljivo sjedalo i veliku ulaznu stepnicu u kabinu, a istovremeno su iznimno izdrljivi i dugo traju.</p>";"https://www.skladisna-logistika.hr/assets/galleries/307/520_toyota-tonero-7t_HI-1.jpg;https://www.skladisna-logistika.hr/assets/galleries/307/518_toyota-tonero-7t_LO-5.jpg;https://www.skladisna-logistika.hr/assets/galleries/307/519_tonero-7t-steel-cabin_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/307/516_toyota-tonero-35-80-ic-counterbalanced-trucks-product-pop-up-5.jpg";;FD35N / 8FD40N / 8FD45N / 8FD50N / 8FD60N / 8FD70N / 8FD80N / 8FG35N / 8FG40N / 8FG45N / 8FG50N  ;;;;;;;;;;;;
TOYOTA TONERO (1.5t do 3.5t) serija - VELIKA AKCIJA;Plinski i diesel Äçeoni viliÄçari - Toyota Tonero serije;;Toyota plinski i diesel (1.5t do 3.5t) serija;Äçeoni-viliÄçar-toyota-tonero-(15-do-35);Uz Å¡irok raspon aplikacija i 7 god. jamstva na motor, diesel i plinski Toyota Tonero Äçeoni viliÄçari izvrsni su za vanjski rad i manipulaciju teretom.;Uz Å¡irok raspon aplikacija i 7 god. jamstva na motor, diesel i plinski Toyota Tonero Äçeoni viliÄçari izvrsni su za vanjski rad i manipulaciju teretom.;"<h3>&nbsp;</h3><p><strong>Pogodni za lagane i te&scaron;ke aplikacije, Toyota Tonero eoni viliar s pogonom na diesel ili benzinski (plinski) motor dizajniran je uglavnom za vanjski rad i manipulaciju teretom do 3,5 t teine.</strong></p><ul><li>7 godina garancije na motor - najdue na tri&scaron;tu</li><li>Kapacitet nosivosti od 1,5 do 3,5 t pri tei&scaron;tu od 500 mm</li><li>Visina dizanja do 7 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>Toyota industrijski diesel i benzinski motori</li><li>Mogunost izbora ruica za upravljanje</li><li>Mogunost izbora vrste prijenosa</li></ul><div class=""kratki""><p>Svi eoni viliari Tonero serije su opremljen sa Toyota SAS sigurnosnim postavkama&nbsp;kako bi unaprijedili ukupne performanse i produktivnost. Kontrola krana i poveana stabilnost ine na&scaron;e motorne eone viliare iznimno pouzdanim za utovar/istovar robe, ulaganje u regale ili horizontalni prijevoz Sigurno upravljanje i veliko ubrzanje ine Toyota Tonero seriju vrlo produktivnom u laganim ili te&scaron;kim aplikacijama, dok niska razina buke i vibracija poveava udobnost vozaa.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/306/507_toyota-tonero-30_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/306/508_toyota-tonero-3.5t_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/306/509_toyota-tonero-25_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/306/510_toyota-tonero-20_LO-1.jpg;https://www.skladisna-logistika.hr/assets/galleries/306/511_toyota-tonero-30_LO-1.jpg";;8FG/DF15 - 8FG/DF18 - 8FG/DKF20 - 8FG/DF20 - 8FG/DF25 - 8FG/DF30 - 8FG/DJF35  ;;;;;;;;;;;;
Toyota Tracto R 2TG25;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-2tg25;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/300/503_toyota-tracto-2tg-2td_HI.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_r-serija_204248.pdf;2TG25;;;;27.0;;;;49000;;;;3050
Toyota Tracto 2TG20;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-2tg20;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/298/501_toyota-tracto-2tg-2td_HI.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_r-serija_204221.pdf;2TG20;;;;27.0;;;;39000;;;;3050
Toyota Tracto 2TD25;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-2td25;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/297/499_toyota-tracto-2tg-2td_HI.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_r-serija_204233.pdf;2TD25;;;;30.0;;;;49000;;;;3050
Toyota Tracto CBT6;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-cbt6;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/248/494_Untitled-1.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_s_i_r_serija_204120.pdf;CBT6;;;;18.0;;;;6000;;;;1775
Toyota Tracto CBT4;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-cbt4;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/246/492_Untitled-1.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_s_i_r_serija_204057.pdf;CBT4;;;;13.5;;;;4000;;;;1775
Toyota Tracto 4CBTk4;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-4cbtk4;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/247/491_toyota-tracto-4cbt4_LO.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_s_i_r_serija_204019.pdf;4CBTk4;;;;13.0;;;;4000;;;;1600
Toyota Tracto 4CBT3;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-4cbt3;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/245/486_toyota-tracto-4cbt4_LO.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_s_i_r_serija_20400.pdf;4CBT3;;;;13.0;;;;3000;;;;1600
Toyota Tracto 4CBT2;VuÄçna vozila Toyota Tracto R serija;BT i Toyota vuÄçna vozila;Toyota vuÄçno vozilo Tracto R serija;vuÄçno-vozilo-toyota-tracto-r-4cbt2;VuÄçno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta veÄ‡e teÅ_ine.;;"<p class=""kratki""><strong>Vuno vozilo namijenjeno za horizontalni transport na dugim relacijama i prijevoz tereta vee teine.</strong></p><div class=""kratki""><p>Idealni za aplikacije koje ukljuuju vee distance prijevoza tereta jednako kao i vee teine, Toyota Tracto R serije vuna vozila na kojima se sjedi ukljuuju elektro i motorne pogonske motore s irokim izborom nosivosti.</p><p>R serije vuna vozila nude vozau vrlo udobno sjedalo, upravljaku konzolu laganu za koritenje i time pruaju rad u tekim radnim okruenjima. I elektro i motorni motori vrlo su snani i predvieni za rad u proizvodnji u tekim uvjetima.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/244/481_toyota-tracto-4cbt4_LO.jpg;http://www.skladisna-logistika.hr/upload/artikli/tracto_s_i_r_serija_203934.pdf;4CBT2;;;;13.0;;;;2000;;;;1600
